indicator_code,country_iso3,who_region,year,dim1_type,dim1,value_numeric,value_low,value_high,value_display,last_updated
cpmt,MRT,AFR,2007,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,23.08922,19.85856,26.67056,23.1 [19.9-26.7],2022-05-26T12:19:15+02:00
cpmt,GHA,AFR,2011,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,42.78189,37.3438,48.40017,42.8 [37.3-48.4],2022-05-26T12:10:01+02:00
cpmt,NAM,AFR,2000,DHSMICSGEOREGION,DHSMICSGEOREGION_NAMDHS200004,61.5094,52.68555,69.63606,61.5 [52.7-69.6],2022-05-26T14:35:34+02:00
cpmt,BEN,AFR,2011,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,19.16324,16.40542,22.26121,19.2 [16.4-22.3],2022-05-26T11:59:28+02:00
cpmt,BFA,AFR,1998,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,9.08719,7.16991,11.4539,9.1 [7.2-11.5],2022-05-26T12:47:26+02:00
cpmt,SWZ,AFR,2014,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,58.87542,52.38195,65.07382,58.9 [52.4-65.1],2022-05-26T12:08:02+02:00
cpmt,NER,AFR,1998,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,22.5005,19.46452,25.85796,22.5 [19.5-25.9],2022-05-26T12:59:32+02:00
cpmt,BFA,AFR,2010,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,17.09212,15.36282,18.97245,17.1 [15.4-19.0],2022-05-26T12:47:35+02:00
cpmt,MOZ,AFR,2015,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,20.00586,15.37087,25.61545,20.0 [15.4-25.6],2022-05-26T12:20:44+02:00
cpmt,CAF,AFR,1994,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,20.61184,16.38756,25.59173,20.6 [16.4-25.6],2022-05-26T12:02:31+02:00
cpmt,SEN,AFR,2010,DHSMICSGEOREGION,DHSMICSGEOREGION_SENDHS201009,10.9161,7.83798,15.00621,10.9 [7.8-15.0],2022-05-26T14:45:44+02:00
cpmt,CMR,AFR,2004,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,23.24973,19.75181,27.15747,23.2 [19.8-27.2],2022-05-26T12:02:01+02:00
cpmt,SEN,AFR,2012,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,7.24168,5.36862,9.70124,7.2 [5.4-9.7],2022-05-26T13:03:10+02:00
cpmt,GHA,AFR,1993,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,30.0885,25.50517,35.1073,30.1 [25.5-35.1],2022-05-26T12:09:32+02:00
cpmt,AGO,AFR,2015,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,1.56388,0.7587,3.19608,1.6 [0.8-3.2],2022-05-26T11:56:27+02:00
cpmt,MOZ,AFR,2003,DHSMICSGEOREGION,DHSMICSGEOREGION_MOZDHS200311,50.01047,44.63307,55.38762,50.0 [44.6-55.4],2022-05-26T14:34:53+02:00
cpmt,COM,AFR,1996,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,13.0137,9.22428,18.0503,13.0 [9.2-18.1],2022-05-26T12:03:44+02:00
cpmt,GNB,AFR,2014,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,10.58586,8.21779,13.5357,10.6 [8.2-13.5],2022-05-26T12:11:19+02:00
cpmt,GHA,AFR,2006,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,21.29448,17.83346,25.22102,21.3 [17.8-25.2],2022-05-26T12:52:23+02:00
cpmt,MDG,AFR,1997,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,14.8146,10.43005,20.61802,14.8 [10.4-20.6],2022-05-26T12:17:12+02:00
cpmt,MLI,AFR,2001,DHSMICSGEOREGION,DHSMICSGEOREGION_MLIDHS200106,4.78005,3.16776,7.15233,4.8 [3.2-7.2],2022-05-26T14:33:24+02:00
cpmt,GAB,AFR,2000,AGEGROUP,AGEGROUP_YEARS15-19,40.10034,34.96953,45.45773,40.1 [35.0-45.5],2022-05-26T11:01:45+02:00
cpmt,SEN,AFR,2019,DHSMICSGEOREGION,DHSMICSGEOREGION_SENDHS201910,23.29343,18.11745,29.41689,23.3 [18.1-29.4],2022-05-26T14:46:41+02:00
cpmt,TZA,AFR,1996,DHSMICSGEOREGION,DHSMICSGEOREGION_TZADHS199608,19.04762,12.79318,27.3991,19.0 [12.8-27.4],2022-05-26T14:50:53+02:00
cpmt,GHA,AFR,2014,DHSMICSGEOREGION,DHSMICSGEOREGION_GHADHS201408,11.20541,8.57448,14.51543,11.2 [8.6-14.5],2022-05-26T14:24:01+02:00
cpmt,SLE,AFR,2008,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,10.63438,8.74238,12.87805,10.6 [8.7-12.9],2022-05-26T13:03:49+02:00
cpmt,SLE,AFR,2008,DHSMICSGEOREGION,DHSMICSGEOREGION_SLEDHS200804,21.15016,17.53628,25.28047,21.2 [17.5-25.3],2022-05-26T14:46:59+02:00
cpmt,TCD,AFR,2014,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,3.19365,2.64145,3.85672,3.2 [2.6-3.9],2022-05-26T11:15:56+02:00
cpmt,CIV,AFR,1994,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,38.69774,34.53268,43.03493,38.7 [34.5-43.0],2022-05-26T11:16:30+02:00
cpmt,SWZ,AFR,2006,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,40.04057,32.42815,48.16619,40.0 [32.4-48.2],2022-05-26T12:07:51+02:00
cpmt,SSD,AFR,2010,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,10.6019,7.5904,14.61919,10.6 [7.6-14.6],2022-05-26T11:24:25+02:00
cpmt,MWI,AFR,2010,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,40.96746,37.97975,44.02337,41.0 [38.0-44.0],2022-05-26T12:17:53+02:00
cpmt,LBR,AFR,2007,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,20.30533,15.11379,26.71884,20.3 [15.1-26.7],2022-05-26T12:16:55+02:00
cpmt,ZWE,AFR,2014,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,60.79472,57.03991,64.42603,60.8 [57.0-64.4],2022-05-26T12:39:16+02:00
cpmt,TCD,AFR,2004,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,11.51895,7.11883,18.10854,11.5 [7.1-18.1],2022-05-26T12:02:58+02:00
cpmt,ZWE,AFR,2009,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,63.3398,59.03341,67.44316,63.3 [59.0-67.4],2022-05-26T12:39:04+02:00
cpmt,RWA,AFR,2019,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,63.30805,59.51216,66.94572,63.3 [59.5-66.9],2022-05-26T12:29:04+02:00
cpmt,BEN,AFR,2006,DHSMICSGEOREGION,DHSMICSGEOREGION_BENDHS200612,13.54437,11.18138,16.31502,13.5 [11.2-16.3],2022-05-26T14:13:07+02:00
cpmt,BFA,AFR,1998,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,10.23006,7.10703,14.51106,10.2 [7.1-14.5],2022-05-26T12:00:34+02:00
cpmt,CMR,AFR,2006,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,47.6025,42.50676,52.74867,47.6 [42.5-52.7],2022-05-26T12:02:07+02:00
cpmt,STP,AFR,2014,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,39.02928,35.18246,43.01757,39.0 [35.2-43.0],2022-05-26T11:23:42+02:00
cpmt,BFA,AFR,2003,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,9.8441,8.12443,11.8807,9.8 [8.1-11.9],2022-05-26T12:47:29+02:00
cpmt,SLE,AFR,2013,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,12.07156,10.38123,13.99413,12.1 [10.4-14.0],2022-05-26T13:03:55+02:00
cpmt,MDG,AFR,2018,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,45.91548,43.33236,48.52073,45.9 [43.3-48.5],2022-05-26T11:36:46+02:00
cpmt,UGA,AFR,1995,DHSMICSGEOREGION,DHSMICSGEOREGION_UGADHS199503,13.58101,11.16111,16.42855,13.6 [11.2-16.4],2022-05-26T14:50:00+02:00
cpmt,GHA,AFR,2003,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,25.1369,19.8941,31.22283,25.1 [19.9-31.2],2022-05-26T12:09:44+02:00
cpmt,SEN,AFR,1997,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,32.08316,26.39618,38.35687,32.1 [26.4-38.4],2022-05-26T12:29:44+02:00
cpmt,MLI,AFR,2015,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,13.21815,11.53458,15.10549,13.2 [11.5-15.1],2022-05-26T12:57:35+02:00
cpmt,GMB,AFR,2010,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,8.30244,6.17602,11.07458,8.3 [6.2-11.1],2022-05-26T12:08:55+02:00
cpmt,TZA,AFR,2010,AGEGROUP,AGEGROUP_YEARS15-19,14.86808,10.49647,20.64053,14.9 [10.5-20.6],2022-05-26T11:07:36+02:00
cpmt,UGA,AFR,2016,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,45.48856,42.78792,48.21602,45.5 [42.8-48.2],2022-05-26T13:06:22+02:00
